"Date","Price","Open","High","Low","Vol.","Change %"
"10/07/2025","11,900","12,625","12,700","11,775","4.35M","-5.74%"
"10/06/2025","12,625","13,375","13,500","12,625","3.01M","-4.90%"
"10/03/2025","13,275","13,025","13,900","13,025","3.58M","0.95%"
"10/02/2025","13,150","13,375","13,525","13,000","2.70M","-1.68%"
"10/01/2025","13,375","13,950","14,075","13,250","2.68M","-4.29%"
"09/30/2025","13,975","13,975","14,175","13,600","2.04M","0.54%"
"09/29/2025","13,900","14,625","14,625","13,800","3.46M","-4.96%"
"09/26/2025","14,625","14,225","15,125","13,400","8.23M","3.36%"
"09/25/2025","14,150","13,600","14,825","13,575","5.10M","3.28%"
"09/24/2025","13,700","14,975","15,200","13,525","7.26M","-7.59%"
"09/23/2025","14,825","13,900","15,675","13,675","24.89M","13.38%"
"09/22/2025","13,075","11,400","13,075","11,250","11.96M","19.95%"
"09/19/2025","10,900","10,625","11,175","10,625","2.61M","2.59%"
"09/18/2025","10,625","11,250","11,300","10,475","2.09M","-5.97%"
"09/17/2025","11,300","10,950","11,675","10,400","7.54M","3.20%"
"09/16/2025","10,950","9,350","11,150","9,250","15.34M","17.74%"
"09/15/2025","9,300","8,875","9,450","8,875","1.80M","5.08%"
"09/12/2025","8,850","8,950","8,950","8,825","545.70K","0.57%"
"09/11/2025","8,800","8,825","9,050","8,800","528.20K","-0.28%"
"09/10/2025","8,825","8,900","9,000","8,750","552.70K","-0.84%"
"09/09/2025","8,900","9,925","10,000","8,750","5.12M","-10.10%"
"09/08/2025","9,900","8,725","10,050","8,450","4.85M","12.50%"